"","Behaviour","START","STOP","Duration","ID"
"1","Courtship.Start",2099.78,2105.28,5.5,"g1.J191xJ68"
"2","Leg Showcase",2105.28,2117.52,12.2399999999998,"g1.J191xJ68"
"3","Abdomen Tapping",2117.52,2117.53,0.0100000000002183,"g1.J191xJ68"
"4","Leg Showcase",2117.53,2139.88,22.3499999999999,"g1.J191xJ68"
"5","Abdomen Tapping",2139.88,2145.92,6.03999999999996,"g1.J191xJ68"
"6","Leg Showcase",2145.92,2148.48,2.55999999999995,"g1.J191xJ68"
"7","Grooming",2148.48,2176.58,28.0999999999999,"g1.J191xJ68"
"8","Grooming + Leg Showcase",2176.58,2178.92,2.34000000000015,"g1.J191xJ68"
"9","Grooming",2178.92,2181.84,2.92000000000007,"g1.J191xJ68"
"10","Abdomen Tapping",2181.84,2186.84,5,"g1.J191xJ68"
"11","Leg Showcase",2186.84,2213.5,26.6599999999999,"g1.J191xJ68"
"12","Abdomen Tapping",2213.5,2213.66,0.159999999999854,"g1.J191xJ68"
"13","Leg Showcase",2213.66,2221.66,8,"g1.J191xJ68"
"14","Pedipalp Showcase",2221.66,2224.82,3.16000000000031,"g1.J191xJ68"
"15","Leg Showcase",2224.82,2251.7,26.8799999999997,"g1.J191xJ68"
"16","Freezing",2251.7,2979.72,728.02,"g1.J191xJ68"
"17","Leg Showcase",2979.72,2997.7,17.98,"g1.J191xJ68"
"18","Freezing",2997.7,3138.28,140.58,"g1.J191xJ68"
"19","Leg Showcase",3138.28,3184.1,45.8199999999997,"g1.J191xJ68"
"20","Freezing",3184.1,3195.78,11.6800000000003,"g1.J191xJ68"
"21","Abdomen Tapping",3195.78,3196.02,0.239999999999782,"g1.J191xJ68"
"22","Leg Showcase",3196.02,3200.48,4.46000000000004,"g1.J191xJ68"
"23","Freezing",3200.48,3209.8,9.32000000000016,"g1.J191xJ68"
"24","Pedipalp Showcase",3209.8,3212.4,2.59999999999991,"g1.J191xJ68"
"25","Leg Showcase + Pedipalp Showcase",3212.4,3215.18,2.77999999999975,"g1.J191xJ68"
"26","Leg Showcase",3215.18,3222.16,6.98000000000002,"g1.J191xJ68"
